SHA,Message,Author,Username,Date
ea6f600fa3ef6ce56ca59b160b78a865243c358e,fix(client): conditionally render tag wrapper (#55368),Lasse Jørgensen,lasjorg,2024-06-30T07:33:35Z
5cc10ef7b75b576bac662c938ec1bf4c81b2e604,fix(client): only use contents from savedChallenges (#55364),Oliver Eyton-Williams,ojeytonwilliams,2024-06-28T17:50:02Z
3a20e90e5d36e82d85a89bb96bbc6275791c6684,"fix(curriculum): example code, challenge (#55307)

Co-authored-by: Sem Bauke <sem@freecodecamp.org>
Co-authored-by: Huyen Nguyen <25715018+huyenltnguyen@users.noreply.github.com>",Lasse Jørgensen,lasjorg,2024-06-28T09:13:37Z
4b96fa9a2749a1c2cb74495d8ca3a9ebe0c68ad9,fix(curriculum): add missing closing double quote (#55360),Salaha Sokhona,salaahl,2024-06-28T07:22:46Z
8340cd2e6acda0dd4eeb107c0253ea7f1ed0c44c,chore: update curriculum-helpers to v3.6.0 (#55353),Dario-DC,Dario-DC,2024-06-28T06:07:10Z
ebfbd74c24fe7efdc37b5d5c5691ef6b0b174f71,test: increase timeout for initial contents tests (#55355),Oliver Eyton-Williams,ojeytonwilliams,2024-06-27T20:29:53Z
c172264dfa3d946114ed1e439e416f003f343733,feat(curriculum): add new front end cert skeleton (#55231),Tom,moT01,2024-06-27T19:19:04Z
b8e03ca5efc2fb7d20d4fbcfe17031c168b7d399,fix: flaky hotkey spec (#55345),Oliver Eyton-Williams,ojeytonwilliams,2024-06-27T19:08:45Z
2a5efc1d73991132affadf75ca45e4c0e87c6ef2,"feat: The Odin Project - Rock Paper Scissors Game (#55110)

Co-authored-by: Naomi <accounts+github@nhcarrigan.com>",Sem Bauke,Sembauke,2024-06-27T15:55:36Z
197becc52a4c045fee5a7cfe1ab99c9799839ae4,"fix(api): handle concurrent challenge submissions (#55336)

Co-authored-by: Shaun Hamilton <shauhami020@gmail.com>",Oliver Eyton-Williams,ojeytonwilliams,2024-06-27T12:08:53Z
a22e90c10d6a23c660a19a7f237e3b77c01d6f41,fix(api): use generic error message if CSRF error (#55264),Oliver Eyton-Williams,ojeytonwilliams,2024-06-27T08:47:23Z
512547e76c53d708681db272662625ce14064cf1,refactor(api): sensible default cookie config (#55227),Oliver Eyton-Williams,ojeytonwilliams,2024-06-27T08:44:47Z
22e74e640670a2959887f91ef94f6b08032c46aa,"feat(api): port /confirm-email to new api (#54975)

Co-authored-by: Niraj Nandish <nirajnandish@icloud.com>",Oliver Eyton-Williams,ojeytonwilliams,2024-06-27T08:07:53Z
2c611fb15b1e661a5f73757ae7fe5f373e772930,fix: separate checks for cases and case block code in date formatter (#55328),Kolade Chris,Ksound22,2024-06-27T07:26:13Z
83644a251f5af7ff81b98fffaca2351e394d81e8,fix(api): add missing build step and use faster OS (#55344),Oliver Eyton-Williams,ojeytonwilliams,2024-06-27T06:29:49Z
097aab3291522a3692b94644e151b2669d77bbfa,fix(curriculum): fix text in RPG (#55339),Gagan Bhullar,gagan-bhullar-tech,2024-06-26T20:19:22Z
2d48d182345ddfb0e26992f9dade850a54ad9b0d,fix (curriculum): typo in step 16 of building a cafe menu (#55337),Gagan Bhullar,gagan-bhullar-tech,2024-06-26T19:48:41Z
cfb5fad0988d145894a6cbe4f4ff0ba01289b249,"chore(i18n,learn): processed translations (#55335)

Co-authored-by: Ilenia M <nethleen@gmail.com>",freeCodeCamp's Camper Bot,camperbot,2024-06-26T19:47:06Z
00b251b891531b57246d7ad46b0cdc42b94eff9d,"chore(i18n,client): processed translations (#55334)

Co-authored-by: Ilenia M <nethleen@gmail.com>",freeCodeCamp's Camper Bot,camperbot,2024-06-26T19:46:51Z
d4d0450fd969fd1db8b3544baf0a8e25acb9a382,fix(curriculum): update hint message Pyramid step 115 (#55330),Supravisor,Supravisor,2024-06-26T16:37:37Z
1b4a2707ff23305040705af371d76f48604610ec,fix: flaky code-saving test (#55338),Oliver Eyton-Williams,ojeytonwilliams,2024-06-26T16:02:14Z
9ffb1d5b43ce474653ca4b40dcc268edb027e730,Revert c240bd4 (#55333),Ilenia,ilenia-magoni,2024-06-26T14:14:12Z
cbfb17cc8a05fed134d612f7e1f045f21bc9db9c,fix(curriculum): remove DB from env instructions (#55321),Lasse Jørgensen,lasjorg,2024-06-26T11:49:53Z
c240bd40e89b9d88ee667b188470b66d8b084bd6,chore(e2e): use ControlOrMeta and remove browserName (#55326),Ilenia,ilenia-magoni,2024-06-26T09:01:26Z
09fe21653d3771d8ed8c02e33d01a37e9bf3b099,"chore(i18n,learn): processed translations (#55323)

Co-authored-by: Naomi <commits@nhcarrigan.com>",freeCodeCamp's Camper Bot,camperbot,2024-06-26T07:55:48Z
cf133c2f2756d0bc430aca2e6eb89aeb5fe634af,"test: simplify hotkey tests (#55315)

Co-authored-by: Huyen Nguyen <25715018+huyenltnguyen@users.noreply.github.com>",Oliver Eyton-Williams,ojeytonwilliams,2024-06-26T07:50:40Z
f96e9da021d33c0e18b6e596034dbd6c88b47231,"chore(curriculum): Wrap strings in quotes in Learn Recursion by Building a Decimal to Binary Converter (#55126)

Co-authored-by: Naomi <accounts+github@nhcarrigan.com>",Duong The Pham,altsun,2024-06-26T04:38:00Z
0b58071f292a57eba1aa9a084bd7a77d15416e47,fix(curriculum): random background random color method placement in step 3 (#55316),Gagan Bhullar,gagan-bhullar-tech,2024-06-25T18:30:21Z
2782530bcb7d0393873b57881480e58d50fdf5c7,"feat: convert dice game into review style project (#54821)

Co-authored-by: Ilenia <26656284+ilenia-magoni@users.noreply.github.com>",Naomi,naomi-lgbt,2024-06-25T17:56:15Z
59498e5b091fdcb17092f77c154aeb1886b6ec70,"feat(client): allow empty source code testing (#53797)

Co-authored-by: Oliver Eyton-Williams <ojeytonwilliams@gmail.com>",Shaun Hamilton,ShaunSHamilton,2024-06-25T11:27:44Z
1b237f3c78a41e641508c5db6d8db0b217c3f92a,"fix(curriculum): is keyword is properly introduced after first usage (#55314)

Co-authored-by: Dario-DC <105294544+Dario-DC@users.noreply.github.com>",Supravisor,Supravisor,2024-06-25T11:26:26Z
c58bdc994895d91a3a1cf0152a34244e0ded4281,chore(deps): update playwright (#55313),Oliver Eyton-Williams,ojeytonwilliams,2024-06-25T08:38:18Z
1c19b85ffe7bf4b92171c713cde53c402e996386,"fix(curriculum): typo in problem 311 of Project Euler (#55310)

Co-authored-by: Sadat <sadat.bagban@intimetec.com>",Sadat Hussain,SadatHussain7,2024-06-25T07:17:39Z
1ef9a4e49ce83ac1b2e8612d62d03a961f2d4523,"fix(curriculum): update browser site URL, note about done callback (#55292)",Lasse Jørgensen,lasjorg,2024-06-24T20:09:35Z
0ccf96783cfa1cfefa25a5f109153f205ccee94f,fix(client): use translation string in button label (#55306),Huyen Nguyen,huyenltnguyen,2024-06-24T18:48:51Z
9bcf70206d3111eefae7c5e1b9b0556470c0cb07,feat: block other package managers (#55304),Naomi,naomi-lgbt,2024-06-24T16:49:52Z
b15b41c9c93ca0af6160fe5857dc2bb3151226ac,test(e2e): add donation-modal.spec.ts (#55239),Huyen Nguyen,huyenltnguyen,2024-06-24T16:30:16Z
f0e538d2c954583dd5f89d7dae523a740032310a,fix(curriculum): replace semi-colon with semicolons (#55302),Gagan Bhullar,gagan-bhullar-tech,2024-06-24T14:52:33Z
66ed6a5f8c6feb9bc26418843c2d2e421a383bc8,"chore(i18n,learn): processed translations (#55301)",freeCodeCamp's Camper Bot,camperbot,2024-06-24T14:50:32Z
b302b39ef3291dd4464b39d7f6b91f3c9eca839c,"chore(i18n,client): processed translations (#55300)",freeCodeCamp's Camper Bot,camperbot,2024-06-24T14:13:50Z
3a078957ca5bf692cb5056f3c48d7e4e6beeb88c,fix(curriculum): update tests for pokemon search app (#55221),Lasse Jørgensen,lasjorg,2024-06-24T11:06:14Z
7f381b3a309d3863e73d258b6a2ed114b7db1269,"fix(client, curriculum): center images in challenge description (#55190)",Huyen Nguyen,huyenltnguyen,2024-06-24T10:42:32Z
2393c84b225c4236d473d3ee8f7b7203792628c5,feat: create starting points for intro pages (#55004),Naomi,naomi-lgbt,2024-06-24T10:40:04Z
b93c80b15233e9d5c5dee3cc9d34a48b2a57a83b,"fix(curriculum/ python): italicize definition case convertor project (#55180)

Co-authored-by: Dario-DC <105294544+Dario-DC@users.noreply.github.com>",Zaira,zairahira,2024-06-24T09:43:45Z
d50c292f3353416ae3e66858d611ce14eb11d737,fix(curriculum): prevent hardcoding cash register (#55066),Krzysztof G,gikf,2024-06-24T09:23:43Z
c70b4beb8dfcd1875b6ad1cc7084a82dba334d9d,"fix(curriculum): log test, method return, example code (#55298)",Lasse Jørgensen,lasjorg,2024-06-24T09:07:46Z
be79c94de55c56b43388383b1b68c7e820bbf66b,fix(curriculum): add back ticks to variable name Platformer Game step 20 (#55287),Supravisor,Supravisor,2024-06-24T08:57:42Z
6faca2af885f3b2c39cd18554732639102c3e6f9,fix(curriculum): typos (#55296),Sidhartha Amperayani,sidharthaA,2024-06-24T04:12:48Z
ca3ad72badffce907f26d5f67170f370dca0b562,fix(curriculum): typo in alt text (#55291),Naramala Siva Vekata Pavan,NSVPavan,2024-06-23T06:00:19Z
c9638c81f001c57839a76c9ec6e91a80ac9261fe,fix(curriculum): typo in calorie counter step 69 (#55282),Suresh Krishnan V,sureshkrishnan-v,2024-06-22T11:17:06Z
6c2e5c4e32b9227517d437361358e266f5d4e152,chore: updated the missing backticks (#55284),Rahul S Srivastava,Rahul-Srivastava-21,2024-06-22T11:12:28Z
0fa0d6fe848010d0e934e7978111bb7d6e05ae16,feat(curriculum): add a preview page to pyramid project (#54885),Anna,a2937,2024-06-22T08:56:07Z
76cd4ecd35902129c2703b923d2c41034371f630,fix(curriculum) update assertion for typography link element (#54904),Supravisor,Supravisor,2024-06-21T20:04:14Z
e5a5a308faebe00eb72353de172103dded6f90a9,fix(curriculum): trim string to be working selector (#55192),Ilenia,ilenia-magoni,2024-06-21T19:31:04Z
416fe240dd50181f8b559a86ce42e911526dceec,fix(curriculum): update missing double quote in build telephone number (#55272),Gagan Bhullar,gagan-bhullar-tech,2024-06-21T19:24:14Z
68158893aa03c43cbcfda263d1e2d1c3e1d821f8,docs: add Building a Pyramid Generator to README.md (#55266),Andrej Milanović,andrejcode,2024-06-21T16:51:55Z
e80dd98e912a79707ce52eeb4206e4b522f43a54,build: give linting more memory (#55265),Oliver Eyton-Williams,ojeytonwilliams,2024-06-21T16:40:31Z
f6e50ac7b9e336b6e98d0c210cdec4d1edbe0cbb,fix: remove comments from user code before test (#55113),Oliver Eyton-Williams,ojeytonwilliams,2024-06-21T16:34:11Z
f8d88586c31e7625ce0c57904067dcb2d57bbd39,"fix(e2e): removed browserName from the function files (#55246)

Co-authored-by: Huyen Nguyen <25715018+huyenltnguyen@users.noreply.github.com>",Haris Ali,aliharis99,2024-06-21T15:48:58Z
cd636a143afe57972cf41cced81fb536ea392322,"feat(tools/scripts): test project create tool (#55247)

Co-authored-by: Oliver Eyton-Williams <ojeytonwilliams@gmail.com>",Anna,a2937,2024-06-21T15:47:36Z
2847c7c77a2a65826e3aa30dfde32001568cda06,fix(UI): minimize the fixed contents upper the editor (#54978),Manabu Matsumoto,mmatsumoto1026,2024-06-21T15:47:09Z
fd1bf0dd5a4f6bc9f437902e1c6ea48c3aa0e794,test: minor fix to how cookies are passed around (#55259),Oliver Eyton-Williams,ojeytonwilliams,2024-06-21T15:36:46Z
dda9c929b02274a076b324d527f8819fb4f4bd17,fix(api): clear cookies on account/delete (#55260),Oliver Eyton-Williams,ojeytonwilliams,2024-06-21T14:39:31Z
7fdd9d038020bf567575755ca32e9c300f5e28fe,"fix(curriculum): small fixes in JS forum leaderboard project (#55249)

Co-authored-by: Huyen Nguyen <25715018+huyenltnguyen@users.noreply.github.com>",yoko,sidemt,2024-06-21T14:07:35Z
1b75c91f1f8e8d6692b492352ce6f946fbefe4ad,chore(deps): update curriculum-helpers (#55256),Oliver Eyton-Williams,ojeytonwilliams,2024-06-21T14:04:37Z
a5f9e042007a9405e6e9f2983a6a52d9ad8d394d,"chore(i18n,learn): processed translations (#55254)",freeCodeCamp's Camper Bot,camperbot,2024-06-21T11:24:08Z
1034558974c4e90e4ace392d2b31d2137f930fee,fix(curriculum): cash register tests need valid global state (#55245),Jeremy L Thompson,jeremylt,2024-06-21T05:38:14Z
27c4957479d9f7bce72f300556d9382600363e8a,"feat: Top Learn to Solve Problems and Understand Errors (#55027)

Co-authored-by: Naomi <accounts+github@nhcarrigan.com>
Co-authored-by: Tom <20648924+moT01@users.noreply.github.com>",Sem Bauke,Sembauke,2024-06-20T19:52:25Z
830c7587cca52f3f07ba98751455655780fc551a,"fix(curriculum): Pokémon search app id ""#type"" to ""#types"" (#55219)",rupanjanas,rupanjanas,2024-06-20T18:41:35Z
1d1a9daba3f8dab301215d204c44a74efb52a7e7,fix(client): handle reset after saving learner code (#55103),Oliver Eyton-Williams,ojeytonwilliams,2024-06-20T18:35:28Z
bf536b9447a3f79d5832edb849662d3c59268e52,"fix(curriculum): resize accessibility logo (#54824)

Co-authored-by: Huyen Nguyen <25715018+huyenltnguyen@users.noreply.github.com>",Supravisor,Supravisor,2024-06-20T18:26:17Z
589e891c26cfbe939501ed8e68eb7273f9c9b970,fix(api): narrow serializers for update-my-email (#55178),Oliver Eyton-Williams,ojeytonwilliams,2024-06-20T18:20:08Z
4c412bff9a386ce659ed958edf557afcf01c76fb,chore(api): remove unused session handling (#55240),Oliver Eyton-Williams,ojeytonwilliams,2024-06-20T18:18:16Z
3557bdfee04e4ee947ee6e403f0af500e6723c06,"fix(curriculum): english challenges for CAP (#55014)

Co-authored-by: Oliver Eyton-Williams <ojeytonwilliams@gmail.com>",Tom,moT01,2024-06-20T17:58:36Z
19b513473260a757b412b6c021dc1d19a680ac28,fix(api): use challenge helper to update completed challenges (#55046),Oliver Eyton-Williams,ojeytonwilliams,2024-06-20T08:44:55Z
ee26d4333c9f00dbba0e33d642b237ad103bdf49,fix(UI): prevent blank cutoffs (#55222),Anna,a2937,2024-06-20T05:58:46Z
daede0a8fff14bb15e5a5c2c8b5e7d1aad8c9f9e,chore: uninstall cross-env (#55224),Mrugesh Mohapatra,raisedadead,2024-06-20T05:56:10Z
f1cd0cfae331ebe60ae86a8bcbfa3e3acdf5d861,"fix(api): handle 4XX errors get-public-profile (#55205)

Co-authored-by: Mrugesh Mohapatra <1884376+raisedadead@users.noreply.github.com>",Shaun Hamilton,ShaunSHamilton,2024-06-20T05:54:52Z
a7e3e69da68fde3897d32440b89b4ff8ed7625d2,"chore(i18n,client): processed translations (#55225)",freeCodeCamp's Camper Bot,camperbot,2024-06-20T05:08:39Z
e804acd43b03dfc89ab7c70d12d0ad28fb610d1e,"chore(i18n,learn): processed translations (#55226)",freeCodeCamp's Camper Bot,camperbot,2024-06-20T05:07:23Z
b84fcc3becfcb7979a59c5e4d4c6aa107e2ef071,fix(curriculum): remind users about healthText rpg step 76 (#55210),Anna,a2937,2024-06-19T16:27:32Z
