SHA,Message,Author,Username,Date
4d05f84325070c3f6fe2ed6096138757675469a4,"[PalcoMP3] Conform to new linter rule
* no space after @ in decorator",dirkf,dirkf,2024-06-20T02:22:02Z
e0094e63c3bce919841b6e3634c877fcef8772a1,"[jsinterp] Various tweaks
* treat Infinity like NaN
* cache operator list",dirkf,dirkf,2024-06-20T01:57:52Z
fd8242e3efd3c0e2ba9a45c662d6983c00b21d6d,"[jsinterp] Fix and improve expression parsing
* improve BODMAS (fixes https://github.com/ytdl-org/youtube-dl/issues/32815)
* support more weird expressions with multiple unary ops",dirkf,dirkf,2024-06-20T01:36:54Z
ad01fa6ccadd1ecade8002e937492a141d3b8f25,"[jsinterp] Add Debugger from yt-dlp
* https://github.com/yt-dlp/yt-dlp/commit/8f53dc4
* thx pukkandan",dirkf,dirkf,2024-06-19T20:44:27Z
2eac0fa3799b3d027148341186a52fb5a6288473,[utils] Save `orig_msg` in `ExtractorError`,dirkf,dirkf,2024-06-19T18:04:47Z
0153b387e57e0bb8e580f1869f85596d2767fb0d,"[VidLii] Add 720p support (#30924)

* [VidLii] Add HD support  (yt-dlp backport-ish)

* Also fix a bug with the view count

---------

Co-authored-by: dirkf <fieldhouse@gmx.net>",Paper,mrpapersonic,2024-06-11T12:21:39Z
a48fe7491df1ef9c1d10689e852f0e8e5f48253c,[ORF] Skip tests with limited availability,dirkf,dirkf,2024-06-11T11:32:07Z
e20ca543f037bd3a8e38507b870ed3a3de3c32e7,"[ORF] Re-factor and update`ORFFM4StoryIE`
* fix getting media via DASH instead of inaccessible mp4
* also get in-page YT media",dirkf,dirkf,2024-06-01T12:43:37Z
e39466051f01411944bd657fe826b658a0df5af1,"[ORF] Support sound.orf.at, updating `ORFRadioIE`
* maintain support for xx.orf.at/player/... URLs
* add `ORFRadioCollectionIE` to support playlists in ORF Sound
* back-port and re-work `ORFPodcastIE` from https://github.com/yt-dlp/yt-dlp/pull/8486, thx Esokrates",dirkf,dirkf,2024-06-01T12:29:26Z
d95c0d203fa74c806a806806f7c5286ca532b936,"[ORF] Support on.orf.at, replacing `ORFTVthekIE`
* add `ORFONIE`, back-porting yt-dlp PR https://github.com/yt-dlp/yt-dlp/pull/9113 and friends: thx HobbyistDev, TuxCoder, seproDev
* re-factor to support livestreams via new `ORFONliveIE`",dirkf,dirkf,2024-06-01T11:56:41Z
3bde6a5752591f824096469fb9617be9d470df2c,"[test] Improve download test
* skip reason can't be unicode in Py2
* remove duplicate assert...Equal functions",dirkf,dirkf,2024-06-11T00:20:42Z
50f6c5668ac28a435a5c09e3d5ee7c13a50999f3,[core] Re-factor with `_fill_common_fields()` as used in yt-dlp,dirkf,dirkf,2024-06-01T02:25:06Z
b4ff08bd2d12b6c91f4d8c83a7820fc6db31033d,[core] Safer handling of nested playlist data,dirkf,dirkf,2024-06-01T02:23:37Z
88bd8b9f87f6f4956f11d32f3a7f23f20283357b,"[mixcloud] updated mixcloud API server address (#32557)

* updated mixcloud API server address
* fix tests
* etc

---------

Co-authored-by: dirkf <fieldhouse@gmx.net>",kmnx,kmnx,2024-06-11T11:38:24Z
21924742f79ccbd62d16ef4120518c6a5da8614e,"[InfoExtractor] Misc yt-dlp back-ports, etc
* add _yes_playlist() method
* avoid crash using _NETRC_MACHINE
* use _search_json() in _search_nextjs_data()
* _search_nextjs_data() default is JSON, not text
* test for above",dirkf,dirkf,2024-04-26T17:57:44Z
768ccccd9b18bc48d129b12d14eace4ebb3655d8,"[compat] Avoid type comparison in `compat_ord`
NB This isn't actually a compat fn; it should be utils.int_from_int_or_char",dirkf,dirkf,2024-05-28T14:59:34Z
eee9a247eb3ef876ce6d9f5e34275e46a2d06d10,[utils] Split out traversal.py dummy and traversal tests,dirkf,dirkf,2024-05-28T16:16:58Z
34484e49f5cd91a830f5459a5b673b7c05a22e24,"[compat] Improve compat_etree_iterfind for Py2.6
Adapted from https://raw.githubusercontent.com/python/cpython/2.7/Lib/xml/etree/ElementPath.py",dirkf,dirkf,2024-05-28T15:38:20Z
06da64ee51cd405b9392ba484cf7d3d31a88ee30,"[utils] Update traverse_obj() from yt-dlp
* remove `is_user_input` option per https://github.com/yt-dlp/yt-dlp/pull/8673
* support traversal of compat_xml_etree_ElementTree_Element per https://github.com/yt-dlp/yt-dlp/pull/8911
* allow un/branching using all and any per https://github.com/yt-dlp/yt-dlp/pull/9571
* support traversal of compat_cookies.Morsel and multiple types in `set()` keys per https://github.com/yt-dlp/yt-dlp/pull/9577
thx Grub4k for these
* also, move traversal tests to a separate class
* allow for unordered dicts in tests for Py<3.7",dirkf,dirkf,2024-04-21T22:42:08Z
a08f2b7e4567cdc50c0614ee0a4ffdff49b8b6e6,"[workflows/ci.yml] Temporary workaround for Python 3.5 _pip_ failures

https://github.com/actions/setup-python/issues/866",dirkf,dirkf,2024-05-15T15:57:59Z
668332b9733023ca2e927eeb2208725022248af8,"[YouPorn] Add playlist extractors
* YouPornCategoryIE
* YouPornChannelIE
* YouPornCollectionIE
* YouPornStarIE
* YouPornTagIE
* YouPornVideosIE,",dirkf,dirkf,2024-04-11T12:06:25Z
0b2ce3685e02ea1a3ccee1026572e081b8f6ac83,"[YouPorn] Improve extraction
* detect unwatchable videos
* improve duration extraction
* fix count extraction and support large values
* detect and remove SEO spam boilerplate description",dirkf,dirkf,2024-03-01T15:07:30Z
c2766cb80ee9add4d2d2d94b1878e7884c63ceaf,"[test/test_download] Support 'playlist_maxcount:count' expected value
* parallel to `playlist_mincount'
* specify both for a range of playlist lengths
* if max < min the test will always fail!",dirkf,dirkf,2024-04-11T11:47:05Z
eb3866543810c7be96f40ec94e0c00df19b93861,"[YouPorn] Incorporate yt-dlp PR 8827
* from https://github.com/yt-dlp/yt-dlp/pull/8827
* extract from webpage instead of broken API URL
* thx The-MAGI",dirkf,dirkf,2024-03-01T14:48:30Z
e0727e4ab61b6e45f7792546b8b5ff52a0ea22b5,"[postprocessor/ffmpeg] Fix finding ffprobe (bug in 21792b8)
Fixes https://github.com/ytdl-org/youtube-dl/commit/21792b88b791b16e3ab0a0fb2e26e5bb8a4e2ff3#commitcomment-140705274, thx: vonProteus",dirkf,dirkf,2024-04-07T14:26:12Z
4ea59c6107d63bbabe1de74569ceb984b1646426,"[utils] Fix crash in _report_ignoring_subs from c58b655  (#32762)

Align `utils.bug_reports_message()` with yt-dlp https://github.com/yt-dlp/yt-dlp/commit/5873d4ccdd, thanks fstirlitz

---------

Co-authored-by: dirkf <fieldhouse@gmx.net>",Ori Avtalion,salty-horse,2024-04-05T14:25:29Z
21792b88b791b16e3ab0a0fb2e26e5bb8a4e2ff3,"[external/FFmpeg] Fix and improve --ffmpeg-location handling
* pass YoutubeDL (FileDownloader) to FFmpegPostProcessor constructor
* consolidate path search in FFmpegPostProcessor
* make availability of FFmpegFD depend on existence of FFmpegPostProcessor
* detect ffmpeg executable on instantiation of FFmpegFD
* resolves #32735",dirkf,dirkf,2024-03-03T12:38:00Z
d8f134a664d7be2c10aba44fc2d54a8f7b0542ff,"[downloader/external] Fix ""Resource Warning"" in downloader test
* add compat_subprocess_Popen context manager
* apply context manager in FFmpegFD._call_downloader()",dirkf,dirkf,2024-03-02T15:17:09Z
31a15a7c8dfc618e5090948e6b44d27911383d4b,[compat] Simplify/fix compat_html_parser_HTMLParseError,dirkf,dirkf,2024-03-10T19:06:57Z
19dc10b986eeda47975a0e77e84df20ad3b59062,[utils] Apply compat_contextlib_suppress,dirkf,dirkf,2024-03-01T19:53:58Z
182f63e82a390e138f4a133d3ccb9c838222b02d,"[compat] Add compat_contextlib_suppress

with compat_contextlib_suppress(*Exceptions):
    # code that fails silently for any of Exceptions",dirkf,dirkf,2024-03-01T15:25:44Z
71211e7db7243377f862dfdea9a9c3a511df66c2,"[Youtube] Fix unwanted private method __ie_msg in f8b0135850

Fixes `AttributeError no attribute '_YoutubeIE__ie_msg'` if unable to decode n-parameter",gy-chen,gy-chen,2024-03-23T15:30:13Z
a96a45b2cdcfa5f20ae4264bed268cce93fbc521,"[Vimeo] Improve `config` extraction (#32742)

* update for more robust json parsing",Zizheng Guo,gzz2000,2024-03-12T11:44:13Z
820fae3b3a8587a6f57afbe803b4f91de7d4e086,"[Videa] Fix extraction
* update API URL
* from https://github.com/yt-dlp/yt-dlp/pull/8003
* thanks to the authors!

Closes yt-dlp/7427
Authored by: hatsomatt, aky-01",hatsomatt,hatsomatt,2023-09-16T14:02:37Z
aef24d97e9c50cd9db06349b2b25c7f623baf932,[Videa] Align with yt-dlp,dirkf,dirkf,2024-02-29T14:12:37Z
f7b30e3f73f56aa4765212cd04eb48743e03dfcd,"[XFileShare] Update extractor for 2024
* simplify aa_decode()
* review and update supported sites and tests
* in above, include FileMoon.sx, and remove separate module
* incorporate changes from yt-dlp
* allow for decoding multiple scripts (eg, FileMoon)
* use new JWPlayer extraction",dirkf,dirkf,2024-02-21T00:18:17Z
f66372403fd9e1661199fea100ba2600fa9697b2,"[InfoExtractor] Rework and improve JWPlayer extraction
* use traverse_obj() and _search_json()
* support playlist `.load({**video1},{**video2}, ...)`
* support transform_source=... for _extract_jwplayer_data()",dirkf,dirkf,2024-02-21T00:09:48Z
7216fa2ac4706e099ea2ad9a04fe7bf4300bc745,"[InfoExtractor] Add `_search_json()`
* uses the error diagnostic to truncate the JSON string
* may be confused by non-C-Pythons",dirkf,dirkf,2024-02-21T00:03:17Z
acc383b9e3c2d454121c22570c901dd2c689dc26,"[utils] Let int_or_none() accept a base, like int()",dirkf,dirkf,2024-03-04T20:52:58Z
f0812d784836d18fd25ea32f9b5a0c9c6e92425b,"[utils] Handle user:pass in URLs (#28801)

* Handle user:pass in URLs

Fixes ""nonnumeric port"" errors when youtube-dl is given URLs with
usernames and passwords such as:

    http://username:password@example.com/myvideo.mp4

Refs:
- https://en.wikipedia.org/wiki/Basic_access_authentication
- https://tools.ietf.org/html/rfc1738#section-3.1
- https://docs.python.org/3.8/library/urllib.parse.html#urllib.parse.urlsplit

Fixes #18276 (point 4)
Fixes #20258
Fixes #26211 (see comment)

* Align code with yt-dlp

---------

Co-authored-by: dirkf <fieldhouse@gmx.net>",Hubert Hirtz,hhirtz,2024-03-04T01:27:55Z
40bd5c18153afe765caa6726302ee1dd8a9a2ce6,"[caffeine.tv] Add new extractor (#32514)

* Add CaffeineTVIE info extractor to support site caffeine.tv

---------

Co-authored-by: dirkf <fieldhouse@gmx.net>",Aaron Tan,aaron-tan,2024-02-22T12:54:07Z
70f230f9cf28e948662599b6257cb7d1262870e3,"[GBNews]Add new extractor for GB News TV channel (#29432)

* Add extractor for GB News TV channel

* Support more GBNews URL formats
Allow alphanumeric and _ in place of `shows`, which redirect to site's preferred URL

* Update for 2024",dirkf,dirkf,2024-02-22T12:44:00Z
48ddab1f3a616d40480818ec9b73eaa27e3a55fa,"[downloader/external] Fix WgetFD proxy (rev 2) 

From PR (defunct source), closes #29343.
Matches https://github.com/yt-dlp/yt-dlp/pull/3152
Thx former user kikuyan.",dirkf,dirkf,2024-02-21T16:29:08Z
